frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
36,beacon,17.0843,0.125166,0,0,0,0,0,0,cpu-fallback,100,79,79,179,26,147456,179,0,0,1788,145,1.57359,0,0,0,0.000731092,31.3603,0.808699,0.988235,1.99882e-05,122,81,0,294216,7788,17.3121,106,0,0,0,vulkan_cpu_measurements
37,beacon,14.5681,0.139334,0,0,0,0,0,0,cpu-fallback,100,79,79,180,26,147456,180,0,0,1785,142,1.53795,1,0,0.00555556,0.000719395,31.4303,0.817879,0.988235,1.1697e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
38,beacon,15.7374,0.116667,0,0,0,0,0,0,cpu-fallback,100,79,79,180,26,147456,180,0,0,1779,141,1.53264,0,0,0,0.000697628,31.5638,0.825793,0.988235,2.17666e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
39,beacon,14.4987,0.125167,0,0,0,0,0,0,cpu-fallback,100,79,79,180,26,147456,180,0,0,1767,147,1.62486,0,0,0,0.000667044,31.7585,0.835683,0.988235,3.05839e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
40,beacon,15.4952,0.116334,0,0,0,0,0,0,cpu-fallback,100,79,79,180,26,147456,180,0,0,1757,146,1.63125,0,0,0,0.000648712,31.8795,0.840939,0.988235,1.83323e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
41,beacon,15.4747,0.125792,0,0,0,0,0,0,cpu-fallback,100,79,79,180,26,147456,180,0,0,1755,148,1.65332,0,0,0,0.000664436,31.7755,0.834189,0.988235,1.57244e-05,122,81,5,294216,0,0,162,0,5,0,vulkan_cpu_measurements
42,beacon,19.2102,0.140959,0,0,0,0,0,0,cpu-fallback,100,84,84,180,26,147456,180,0,0,1744,144,1.60596,0,0,0,0.000646444,31.8947,0.834796,0.988235,1.79923e-05,122,86,0,304020,9804,19.4822,111,0,0,0,vulkan_cpu_measurements
43,beacon,15.158,0.118291,0,0,0,0,0,0,cpu-fallback,100,84,84,180,27,147456,180,0,0,1750,137,1.52905,0,0,0,0.000656219,31.8295,0.826317,0.988235,9.77455e-06,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
44,beacon,15.5423,0.131833,0,0,0,0,0,0,cpu-fallback,100,84,84,180,27,147456,180,0,0,1746,139,1.54099,0,0,0,0.00070493,31.5185,0.817125,0.988235,4.87117e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
45,beacon,14.8712,0.133875,0,0,0,0,0,0,cpu-fallback,100,84,84,180,27,147456,180,0,0,1740,132,1.47482,0,0,0,0.00076407,31.1687,0.801043,0.988235,5.91395e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
