frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
28,gpu-clustered,14.1052,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000227567,36.4289,0.915339,0.960784,4.56097e-06,135,80,0,446936,0,0,116,0,0,0,vulkan_cpu_measurements
29,gpu-clustered,14.3567,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000221728,36.5418,0.920142,0.960784,5.83903e-06,135,80,8,446936,0,0,175,0,8,0,vulkan_cpu_measurements
30,gpu-clustered,20.2865,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000191819,37.1711,0.930368,0.952941,2.99085e-05,135,88,0,460472,13536,19.2894,116,0,0,0,vulkan_cpu_measurements
31,gpu-clustered,21.3062,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000176925,37.5221,0.932047,0.890196,1.48943e-05,135,88,0,460472,0,0,124,0,0,0,vulkan_cpu_measurements
32,gpu-clustered,15.9893,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000175254,37.5633,0.93656,0.847059,1.67159e-06,135,88,0,460472,0,0,124,0,0,0,vulkan_cpu_measurements
33,gpu-clustered,15.723,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000194578,37.1091,0.931356,0.94902,1.93242e-05,135,88,0,460472,0,0,124,0,0,0,vulkan_cpu_measurements
34,gpu-clustered,15.782,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000226422,36.4508,0.917659,0.952941,3.18443e-05,135,88,0,460472,0,0,124,0,0,0,vulkan_cpu_measurements
35,gpu-clustered,15.231,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000191374,37.1812,0.928839,0.92549,3.50485e-05,135,88,8,460472,0,0,175,0,8,0,vulkan_cpu_measurements
36,gpu-clustered,20.0244,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000157816,38.0185,0.943654,0.952941,3.35579e-05,135,96,0,513340,52868,20.6364,124,0,0,0,vulkan_cpu_measurements
37,gpu-clustered,15.2674,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000164098,37.849,0.941325,0.960784,6.28197e-06,135,96,0,513340,0,0,134,0,0,0,vulkan_cpu_measurements
38,gpu-clustered,15.941,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000180431,37.4369,0.93599,0.960784,1.63336e-05,135,96,0,513340,0,0,134,0,0,0,vulkan_cpu_measurements
39,gpu-clustered,15.3131,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00018931,37.2283,0.933112,0.960784,8.8784e-06,135,96,0,513340,0,0,134,0,0,0,vulkan_cpu_measurements
